author_id,openalex_author_id_url,display_name,orcid,source
A5065630217,https://openalex.org/A5065630217,Han‐wei Shen,https://orcid.org/0000-0002-1211-2320,openalex
A5106832991,https://openalex.org/A5106832991,Tanner Finken,,openalex
A5074734666,https://openalex.org/A5074734666,Julien Tierny,https://orcid.org/0000-0003-0056-2831,openalex
A5070956346,https://openalex.org/A5070956346,Joshua A. Levine,https://orcid.org/0000-0002-4302-1704,openalex
A5042350842,https://openalex.org/A5042350842,Minsuk Kahng,https://orcid.org/0000-0002-0291-6026,openalex
A5082431329,https://openalex.org/A5082431329,Ian Tenney,https://orcid.org/0000-0002-6225-9283,openalex
A5007386215,https://openalex.org/A5007386215,Mahima Pushkarna,https://orcid.org/0000-0002-5903-5510,openalex
A5072682773,https://openalex.org/A5072682773,Michael Xieyang Liu,https://orcid.org/0000-0002-8246-8736,openalex
A5081809692,https://openalex.org/A5081809692,James Wexler,https://orcid.org/0009-0006-8105-6998,openalex
A5019880413,https://openalex.org/A5019880413,Emily Reif,https://orcid.org/0000-0003-3572-6234,openalex
A5044714148,https://openalex.org/A5044714148,Krystal Kallarackal,https://orcid.org/0000-0002-2337-0114,openalex
A5084721447,https://openalex.org/A5084721447,Minsuk Chang,https://orcid.org/0000-0002-9441-3337,openalex
A5015483503,https://openalex.org/A5015483503,Michael Terry,https://orcid.org/0000-0003-1941-939X,openalex
A5103159534,https://openalex.org/A5103159534,Lucas Dixon,https://orcid.org/0000-0003-1094-1675,openalex
A5102990231,https://openalex.org/A5102990231,Gustavo Moreira,https://orcid.org/0000-0002-4762-7703,openalex
A5057515797,https://openalex.org/A5057515797,Maryam Hosseini,https://orcid.org/0000-0001-8329-4638,openalex
A5014675864,https://openalex.org/A5014675864,Carolina Veiga,https://orcid.org/0000-0002-6266-4836,openalex
A5107104372,https://openalex.org/A5107104372,Lucas Alexandre,,openalex
A5023238630,https://openalex.org/A5023238630,Nicola Colaninno,https://orcid.org/0000-0003-4428-639X,openalex
A5050455034,https://openalex.org/A5050455034,Daniel De Oliveira,https://orcid.org/0000-0001-9346-7651,openalex
A5065868869,https://openalex.org/A5065868869,Nivan Ferreira,https://orcid.org/0000-0001-6631-4609,openalex
A5049830796,https://openalex.org/A5049830796,Marcos Lage,https://orcid.org/0000-0003-3868-8886,openalex
A5083220583,https://openalex.org/A5083220583,Fábio Miranda,https://orcid.org/0000-0001-8612-5805,openalex
A5070761053,https://openalex.org/A5070761053,Sarah Schöttler,https://orcid.org/0000-0002-4898-2619,openalex
A5082796790,https://openalex.org/A5082796790,Uta Hinrichs,https://orcid.org/0000-0001-7494-0941,openalex
A5048194226,https://openalex.org/A5048194226,Benjamin Bach,https://orcid.org/0000-0002-9201-7744,openalex
A5100712971,https://openalex.org/A5100712971,Chang Han,https://orcid.org/0000-0003-2285-1247,openalex
A5009771339,https://openalex.org/A5009771339,Katherine E. Isaacs,https://orcid.org/0000-0002-9947-928X,openalex
A5021497224,https://openalex.org/A5021497224,Huichen Will Wang,,openalex
A5026198819,https://openalex.org/A5026198819,Mitchell Gordon,https://orcid.org/0000-0003-1008-2321,openalex
