author_id,papers,citations,awards,author_name
A5008614365,1,25.0,0,Jessica K. Witt
A5008618551,1,4.0,0,R. Fahlbusch
A5008620772,2,104.0,0,Manuel Rubio-sánchez
A5008626085,1,1.0,0,Yan Ke
A5008627422,20,1855.0,3,Miriah Meyer
A5008632512,1,9.0,0,Ye Zhao
A5008639441,1,3.0,0,Akshay Kolgar Nayak
A5008640200,3,66.0,0,Jiaxi Hu
A5008676144,1,16.0,0,B. Gutkauf
A5008702561,2,245.0,0,Stephan Diehl
A5008722474,1,8.0,1,Márcio Cataldi
A5008751772,1,14.0,0,David Darmofal
A5008754293,25,1030.0,6,Markus Hadwiger
A5008757533,1,11.0,0,Xi Yang
A5008786958,4,262.0,0,Hannah Kim
A5008795543,1,89.0,0,Ji Wu Lan
A5008806729,1,22.0,0,Myroslav Bachynskyi
A5008806860,2,99.0,0,Susanna‐assunta Sansone
A5008821441,1,6.0,0,Joseph Fall
A5008826811,1,48.0,0,M. Sheelagh
A5008852854,1,8.0,0,D.j. Sandim
A5008880046,3,43.0,0,Mark Derthick
A5008892267,1,19.0,0,J. Kruger
A5008910895,1,0.0,0,L.i. Ponomarev
A5008914452,6,296.0,0,Dominik Fleischmann
A5008962649,1,158.0,0,Zhida Sun
A5008965688,1,15.0,0,Sarah M. Peck
A5008966133,1,32.0,0,Felix Raith
A5008969033,1,5.0,0,L. Linsen
A5008974159,1,82.0,0,Ren Ping Liu
A5008980835,1,3.0,0,Markus Schmies
A5009010496,1,51.0,0,Paulo Ivson
A5009029178,1,175.0,0,Danah Boyd
A5009031900,2,58.0,0,Andrew Forsberg
A5009057332,1,3.0,0,Devleena Banerjee
A5009099532,7,843.0,1,Fernando V. Paulovich
A5009110174,1,22.0,0,Dorothea Welte
A5009121571,1,277.0,0,U. Diewald
A5009129713,1,18.0,0,Maria-elena Froese
A5009133136,1,20.0,0,Piero Pili
A5009139939,1,29.0,0,Guangxia Li
A5009147066,1,39.0,0,Binghan Xu
A5009192910,1,32.0,0,N. Trichaud
A5009229122,5,250.0,0,Enrico Gobbetti
A5009248582,1,209.0,0,Mirco Nanni
A5009288945,1,8.0,0,L. Chen
A5009322499,1,16.0,0,David J. Nuckley
A5009341822,7,349.0,1,Jonathan C. Roberts
A5009343095,6,483.0,1,Joe Kniss
A5009354743,1,2.0,1,Silvia Crivelli
A5009356193,1,9.0,0,R. Wenger
A5009369598,5,1717.0,1,Jock D. Mackinlay
