work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2014.2346424,A5043405353,3,Steven Franconeri,,"[""I111979921""]","[""Northwestern University""]","[""US""]","[""https://ror.org/000e0be47""]",True
10.1109/tvcg.2013.145,A5079089831,1,Sarah Goodwin,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5079369129,2,Jason Dykes,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5021386346,3,Sara Jones,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5056703770,4,I. Dillingham,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5011864657,5,Graham Dove,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5090388199,6,Alison Duffy,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5004452139,7,Alexander Kachkaev,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5071681891,8,Aidan Slingsby,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
10.1109/tvcg.2013.145,A5048992354,9,Jo Wood,,"[""I180825142""]","[""City, University of London""]","[""GB""]","[""https://ror.org/04489at23""]",True
