year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
2020,Data Visceralization: Enabling Deeper Understanding of Data Using Virtual Reality,['HM'],['Honorable Mention'],False
2020,"VATLD: A Visual Analytics System to Assess, Understand and Improve Traffic Light Detection",['BP'],['Best Paper'],False
2020,Visual Reasoning Strategies for Effect Size Judgments and Decisions,['BP'],['Best Paper'],False
2020,Preserving Minority Structures in Graph Sampling,['HM'],['Honorable Mention'],False
2019,Progressive Wasserstein Barycenters of Persistence Diagrams,['HM'],['Honorable Mention'],True
2019,Toward Localized Topological Data Structures: Querying the Forest for the Tree,['HM'],['Honorable Mention'],False
2019,NNVA: Neural Network Assisted Visual Analysis of Yeast Cell Polarization Simulation,['HM'],['Honorable Mention'],False
2019,The Perceptual Proxies of Visual Comparison,['HM'],['Honorable Mention'],False
2019,InSituNet: Deep Image Synthesis for Parameter Space Exploration of Ensemble Simulations,['BP'],['Best Paper'],False
2019,Data Changes Everything: Challenges and Opportunities in Data Visualization Design Handoff,['BP'],['Best Paper'],False
2019,Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning,['HM'],['Honorable Mention'],False
2019,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,['BP'],['Best Paper'],False
2018,TPFlow: Progressive Partition and Multidimensional Pattern Extraction for Large-Scale Spatio-Temporal Data Analysis,['BP'],['Best Paper'],False
2018,Firefly: Virtual Illumination Drones for Interactive Visualization,['HM'],['Honorable Mention'],False
2018,Deadeye: A Novel Preattentive Visualization Technique Based on Dichoptic Presentation,['BP'],['Best Paper'],False
2018,Labels on Levels: Labeling of Multi-Scale Multi-Instance and Crowded 3D Biological Environments,['HM'],['Honorable Mention'],False
2018,Design Exposition with Literate Visualization,['HM'],['Honorable Mention'],False
2018,A Visual Analytics Framework for the Detection of Anomalous Call Stack Trees in High Performance Computing Applications,['HM'],['Honorable Mention'],False
2018,Mapping Color to Meaning in Colormap Data Visualizations,['HM'],['Honorable Mention'],False
2018,Charticulator: Interactive Construction of Bespoke Chart Layouts,['HM'],['Honorable Mention'],False
2018,DQNViz: A Visual Analytics Approach to Understand Deep Q-Networks,['HM'],['Honorable Mention'],False
2018,Seq2Seq-Vis: A Visual Debugging Tool for Sequence-to-Sequence Models,['HM'],['Honorable Mention'],False
2018,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,['BP'],['Best Paper'],False
2017,Bridging from Goals to Tasks with Design Study Analysis Reports,['HM'],['Honorable Mention'],False
2017,Globe Browsing: Contextualized Spatio-Temporal Planetary Surface Visualization,['BP'],['Best Paper'],False
2017,Instant Construction and Visualization of Crowded Biological Environments,['HM'],['Honorable Mention'],False
2017,Supporting Handoff in Asynchronous Collaborative Sensemaking Using Knowledge-Transfer Graphs,['HM'],['Honorable Mention'],False
2017,Progressive Learning of Topic Modeling Parameters: A Visual Analytics Framework,['HM'],['Honorable Mention'],False
2017,"Keeping Multiple Views Consistent: Constraints, Validations, and Exceptions in Visualization Authoring",['HM'],['Honorable Mention'],False
2017,Modeling Color Difference for Visualization Design,['BP'],['Best Paper'],False
2017,The Topology ToolKit,['HM'],['Honorable Mention'],False
2017,Visualizing Dataflow Graphs of Deep Learning Models in TensorFlow,['BP'],['Best Paper'],False
2016,In Situ Distribution Guided Analysis and Visualization of Transonic Jet Engine Simulations,['HM'],['Honorable Mention'],False
2016,A Visual Analytics Approach for Categorical Joint Distribution Reconstruction from Marginal Projections,['HM'],['Honorable Mention'],False
2016,Correlated Photon Mapping for Interactive Global Illumination of Time-Varying Volumetric Data,['HM'],['Honorable Mention'],False
2016,Jacobi Fiber Surfaces for Bivariate Reeb Space Computation,['BP'],['Best Paper'],False
